typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,558,NIC,Nicaragua,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,606632700,false,19,BBL,3815300,false,606632700,false,0,false,,203093980,203093980,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,579,NOR,Norway,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1727654250,false,19,BBL,10865750,false,1727654250,false,0,false,,877969012,877969012,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,591,PAN,Panama,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1797005280,false,19,BBL,11301920,false,1797005280,false,0,false,,861111684,861111684,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,604,PER,Peru,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1518219768,false,19,BBL,9548552,false,1518219768,false,0,false,,761012373,761012373,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,616,POL,Poland,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1987864110,false,19,BBL,12502290,false,1987864110,false,0,false,,938621593,938621593,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,620,PRT,Portugal,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,530862840,false,19,BBL,3338760,false,530862840,false,0,false,,265905052,265905052,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,682,SAU,Saudi Arabia,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31323,false,19,BBL,197,false,31323,false,0,false,,27595,27595,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,699,IND,India,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9563925366,false,19,BBL,60150474,false,9563925366,false,0,false,,4831178693,4831178693,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,702,SGP,Singapore,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15200399523,false,19,BBL,95599997,false,15200399523,false,0,false,,7866065668,7866065668,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,704,VNM,Viet Nam,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,158889177,false,19,BBL,999303,false,158889177,false,0,false,,79110000,79110000,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,710,ZAF,South Africa,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,701911860,false,19,BBL,4414540,false,701911860,false,0,false,,359435739,359435739,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,724,ESP,Spain,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11740008111,false,19,BBL,73836529,false,11740008111,false,0,false,,5777226521,5777226521,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,752,SWE,Sweden,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3008814240,false,19,BBL,18923360,false,3008814240,false,0,false,,1453884597,1453884597,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,764,THA,Thailand,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4289231700,false,19,BBL,26976300,false,4289231700,false,0,false,,2147370193,2147370193,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,792,TUR,Turkiye,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,390430860,false,19,BBL,2455540,false,390430860,false,0,false,,165641274,165641274,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,826,GBR,United Kingdom,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15322537122,false,19,BBL,96368158,false,15322537122,false,0,false,,7218654814,7218654814,0,false,true,
C,A,20230101,2023,52,2023,842,USA,USA,X,Export,858,URY,Uruguay,0,W00,World,H6,HS,true,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,636970536,false,19,BBL,4006104,false,636970536,false,0,false,,324544852,324544852,0,false,true,
